Date,Price_50kg,Paint_Price,Retail_Mudu,Profit_Mudu,FX_Rate,Inflation_Pct,Festive,Harvest,Shock,Margin_Pct,calculated_retail,calculated_mudu,mudu_calculation_check,calculated_paint,paint_calculation_check,mudu_check,paint_check,calculated_profit,profit_check,months_since_start,price_change_pct,fx_change_pct,inflation_change_pct,lag1_price,lag1_fx,lag1_inflation,month,year
2024-06-01,77000,7379,2767,361,1482,34.2,0,0,0,15,1770.9999999999998,2767.1875,-0.1875,7379.166666666666,-0.16666666666606034,-0.19,-0.17,415.05,-54.05,12,4.054054054054057,-0.2691790040376896,0.588235294117645,74000.0,1486.0,34.0,6,2024
2024-07-01,80000,7667,2875,375,1550,33.5,0,1,0,15,1839.9999999999998,2875.0,0.0,7666.666666666666,0.33333333333393966,0.0,0.33,431.25,-56.25,13,3.8961038961038863,4.5883940620782715,-2.046783625730997,77000.0,1482.0,34.2,7,2024
2024-08-01,82000,7858,2947,384,1600,33.0,0,1,0,15,1885.9999999999998,2946.8749999999995,0.12500000000045475,7858.333333333332,-0.3333333333321207,0.13,-0.33,442.05,-58.05,14,2.499999999999991,3.2258064516129004,-1.4925373134328401,80000.0,1550.0,33.5,8,2024
2024-09-01,85000,8146,3055,399,1667,32.7,0,1,0,15,1954.9999999999998,3054.6874999999995,0.31250000000045475,8145.833333333332,0.16666666666787933,0.31,0.17,458.25,-59.25,15,3.658536585365857,4.187500000000011,-0.9090909090909038,82000.0,1600.0,33.0,9,2024
2024-10-01,88000,8433,3163,413,1600,33.0,0,1,0,15,2023.9999999999998,3162.4999999999995,0.5000000000004547,8433.333333333332,-0.3333333333321207,0.5,-0.33,474.45,-61.45,16,3.529411764705892,-4.019196160767846,0.917431192660545,85000.0,1667.0,32.7,10,2024
2024-11-01,90000,8625,3234,422,1580,33.5,0,1,0,15,2070.0,3234.3749999999995,-0.37499999999954525,8625.0,0.0,-0.37,0.0,485.09999999999997,-63.1,17,2.2727272727272707,-1.2499999999999956,1.5151515151515138,88000.0,1600.0,33.0,11,2024
2024-12-01,92000,8817,3306,431,1549,34.6,1,1,0,15,2116.0,3306.2499999999995,-0.24999999999954525,8816.666666666666,0.33333333333393966,-0.25,0.33,495.9,-64.9,18,2.2222222222222143,-1.9620253164556956,3.2835820895522394,90000.0,1580.0,33.5,12,2024
2025-01-01,88000,8433,3163,413,1520,30.0,0,0,0,15,2023.9999999999998,3162.4999999999995,0.5000000000004547,8433.333333333332,-0.3333333333321207,0.5,-0.33,474.45,-61.45,19,-4.347826086956519,-1.8721755971594534,-13.294797687861271,92000.0,1549.0,34.6,1,2025
2025-02-01,85000,8146,3055,399,1510,28.0,0,0,0,15,1954.9999999999998,3054.6874999999995,0.31250000000045475,8145.833333333332,0.16666666666787933,0.31,0.17,458.25,-59.25,20,-3.409090909090906,-0.6578947368421018,-6.666666666666665,88000.0,1520.0,30.0,2,2025
2025-03-01,82000,7858,2947,384,1500,26.0,0,1,0,15,1885.9999999999998,2946.8749999999995,0.12500000000045475,7858.333333333332,-0.3333333333321207,0.13,-0.33,442.05,-58.05,21,-3.529411764705881,-0.6622516556291425,-7.14285714285714,85000.0,1510.0,28.0,3,2025
2025-04-01,80000,7667,2875,375,1490,24.0,0,1,0,15,1839.9999999999998,2875.0,0.0,7666.666666666666,0.33333333333393966,0.0,0.33,431.25,-56.25,22,-2.4390243902439046,-0.666666666666671,-7.692307692307687,82000.0,1500.0,26.0,4,2025
2025-05-01,78000,7475,2803,366,1480,22.0,0,0,0,15,1793.9999999999998,2803.125,-0.125,7474.999999999999,9.094947017729282e-13,-0.12,0.0,420.45,-54.45,23,-2.500000000000002,-0.6711409395973145,-8.333333333333337,80000.0,1490.0,24.0,5,2025
2025-06-01,75000,7188,2695,352,1542,28.0,0,0,0,15,1724.9999999999998,2695.3125,-0.3125,7187.499999999999,0.5000000000009095,-0.31,0.5,404.25,-52.25,24,-3.8461538461538436,4.18918918918918,27.27272727272727,78000.0,1480.0,22.0,6,2025
2025-07-01,73000,6996,2623,342,1530,20.0,0,1,0,15,1678.9999999999998,2623.4375,-0.4375,6995.833333333332,0.16666666666787933,-0.44,0.17,393.45,-51.45,25,-2.6666666666666616,-0.7782101167315147,-28.57142857142857,75000.0,1542.0,28.0,7,2025
2025-08-01,72000,6900,2588,338,1520,19.0,0,1,0,15,1655.9999999999998,2587.5,0.5,6899.999999999999,9.094947017729282e-13,0.5,0.0,388.2,-50.2,26,-1.3698630136986356,-0.6535947712418277,-5.000000000000004,73000.0,1530.0,20.0,8,2025
2025-09-01,70000,6708,2516,328,1510,18.0,0,1,0,15,1609.9999999999998,2515.625,0.375,6708.333333333332,-0.3333333333321207,0.38,-0.33,377.4,-49.4,27,-2.777777777777779,-0.6578947368421018,-5.263157894736848,72000.0,1520.0,19.0,9,2025
2025-10-01,68000,6517,2444,319,1500,17.0,0,1,0,15,1563.9999999999998,2443.75,0.25,6516.666666666666,0.33333333333393966,0.25,0.33,366.59999999999997,-47.6,28,-2.857142857142858,-0.6622516556291425,-5.555555555555558,70000.0,1510.0,18.0,10,2025
2025-11-01,67000,6421,2408,314,1480,16.5,0,1,0,15,1540.9999999999998,2407.8125,0.1875,6420.833333333332,0.16666666666787933,0.19,0.17,361.2,-47.2,29,-1.4705882352941124,-1.3333333333333308,-2.941176470588236,68000.0,1500.0,17.0,11,2025
2025-12-01,70000,6708,2516,328,1452,16.0,1,1,0,15,1609.9999999999998,2515.625,0.375,6708.333333333332,-0.3333333333321207,0.38,-0.33,377.4,-49.4,30,4.477611940298498,-1.8918918918918948,-3.0303030303030276,67000.0,1480.0,16.5,12,2025
2026-01-01,68000,6517,2444,319,1434,15.5,0,0,0,15,1563.9999999999998,2443.75,0.25,6516.666666666666,0.33333333333393966,0.25,0.33,366.59999999999997,-47.6,31,-2.857142857142858,-1.2396694214875992,-3.125,70000.0,1452.0,16.0,1,2026
2026-02-01,65000,6229,2336,305,1371,15.0,0,0,0,15,1494.9999999999998,2335.9375,0.0625,6229.166666666667,-0.16666666666696983,0.06,-0.17,350.4,-45.4,32,-4.411764705882348,-4.3933054393305415,-3.2258064516129004,68000.0,1434.0,15.5,2,2026
